Ticker,Return %,Trades,Win Rate %,Final Capital
RELIANCE,4.53,4,100.0,104529.55
TCS,0.0,0,0.0,100000.0
HDFCBANK,0.93,2,100.0,100934.86
INFY,0.0,0,0.0,100000.0
ICICIBANK,2.68,2,100.0,102680.29
HINDUNILVR,2.53,3,100.0,102530.36
ITC,0.0,0,0.0,100000.0
SBIN,7.25,2,100.0,107251.0
BHARTIARTL,13.09,4,100.0,113094.51
KOTAKBANK,4.26,2,100.0,104256.08
LTIM,0.0,0,0.0,100000.0
AXISBANK,-8.83,2,0.0,91168.48
LT,4.84,2,100.0,104839.96
BAJFINANCE,4.66,3,100.0,104660.31
MARUTI,2.08,1,0.0,102082.93
HCLTECH,0.0,0,0.0,100000.0
ASIANPAINT,2.49,2,100.0,102488.88
SUNPHARMA,0.0,0,0.0,100000.0
TITAN,5.72,4,100.0,105723.22
ULTRACEMCO,0.01,3,100.0,100009.14
BAJAJFINSV,5.4,3,100.0,105398.77
WIPRO,0.0,0,0.0,100000.0
NESTLEIND,5.2,2,100.0,105197.88
JSWSTEEL,0.0,0,0.0,100000.0
TATASTEEL,9.7,3,100.0,109698.72
POWERGRID,0.0,0,0.0,100000.0
M&M,0.0,0,0.0,100000.0
ADANIENT,-8.53,3,0.0,91471.62
NTPC,0.0,0,0.0,100000.0
TATAMOTORS,0.0,0,0.0,100000.0
GRASIM,5.85,3,100.0,105853.8
ONGC,0.0,0,0.0,100000.0
HINDALCO,0.0,0,0.0,100000.0
COALINDIA,3.88,2,100.0,103875.36
TECHM,-8.77,2,0.0,91226.21
ADANIPORTS,0.36,2,100.0,100356.11
BRITANNIA,10.4,3,100.0,110403.98
HEROMOTOCO,9.22,2,100.0,109220.19
CIPLA,7.32,3,100.0,107318.84
DIVISLAB,-10.56,2,0.0,89436.45
DRREDDY,5.11,3,100.0,105109.82
EICHERMOT,13.92,4,100.0,113924.96
INDUSINDBK,0.0,0,0.0,100000.0
BPCL,1.79,2,100.0,101793.29
APOLLOHOSP,15.4,5,100.0,115395.29
TATACONSUM,1.31,2,100.0,101306.21
SBILIFE,11.46,4,100.0,111461.09
UPL,3.75,2,100.0,103750.73
